DATE,ESTIMATED_VISITS
2021-04-01,3781
2021-04-02,4024
2021-04-03,3189
2021-04-04,5407
2021-04-05,2519
2021-04-06,2515
2021-04-07,2915
2021-04-08,5901
2021-04-09,1601
2021-04-10,7486
2021-04-11,1875
2021-04-12,1149
2021-04-13,4978
2021-04-14,7079
2021-04-15,4743
2021-04-16,4305
2021-04-17,4660
2021-04-18,7494
2021-04-19,1089
2021-04-20,3725
2021-04-21,2442
2021-04-22,5923
2021-04-23,8921
2021-04-24,9316
2021-04-25,7688
2021-04-26,474
2021-04-27,4118
2021-04-28,4171
2021-04-29,12460
2021-04-30,5748
2021-05-01,6505
2021-05-02,9251
2021-05-03,885
2021-05-04,1918
2021-05-05,5793
2021-05-06,4723
2021-05-07,5881
2021-05-08,7621
2021-05-09,2812
2021-05-10,3484
2021-05-11,886
2021-05-12,5927
2021-05-13,5135
2021-05-14,9079
2021-05-15,13666
2021-05-16,5826
2021-05-17,2630
2021-05-19,8208
2021-05-20,6388
2021-05-21,5541
2021-05-22,8071
2021-05-23,9707
2021-05-24,4662
2021-05-25,7507
2021-05-26,3614
2021-05-27,5315
2021-05-28,769
2021-05-29,8434
2021-05-30,8738
2021-05-31,6953
2021-06-01,5023
2021-06-02,5472
2021-06-03,4766
2021-06-04,6979
2021-06-05,8300
2021-06-06,6471
2021-06-07,3549
2021-06-08,5541
2021-06-09,5309
2021-06-10,6578
2021-06-11,4319
2021-06-12,8618
2021-06-13,7325
2021-06-14,923
2021-06-15,4096
2021-06-16,4211
2021-06-17,6380
2021-06-18,3974
2021-06-19,6815
2021-06-20,8057
2021-06-21,4618
2021-06-22,5873
2021-06-23,6741
2021-06-24,4364
2021-06-25,3730
2021-06-26,5567
2021-06-27,7612
2021-06-28,4374
2021-06-29,1759
2021-06-30,4011
2021-07-01,6416
2021-07-02,3233
2021-07-03,4153
2021-07-04,4469
2021-07-05,3131
2021-07-06,2065
2021-07-07,3178
2021-07-08,1471
2021-07-09,3217
2021-07-10,7912
2021-07-11,3839
2021-07-12,3031
2021-07-13,3058
2021-07-14,3227
2021-07-15,3079
2021-07-16,5804
2021-07-17,2818
2021-07-18,6933
2021-07-19,2275
2021-07-20,2641
2021-07-21,4364
2021-07-22,5943
2021-07-23,5566
2021-07-24,3031
2021-07-25,3641
2021-07-26,3819
2021-07-27,2654
2021-07-28,3985
2021-07-29,4026
2021-07-30,5562
2021-07-31,5744
2021-08-01,4671
2021-08-02,4524
2021-08-03,3004
2021-08-04,5246
2021-08-05,4397
2021-08-06,6451
2021-08-07,3812
2021-08-08,4873
2021-08-09,3465
2021-08-10,3141
2021-08-11,4994
2021-08-12,3665
2021-08-13,3635
2021-08-14,5388
2021-08-15,6046
2021-08-16,2705
2021-08-17,4132
2021-08-18,4242
2021-08-19,4018
2021-08-20,3192
2021-08-21,6618
2021-08-22,4322
2021-08-23,4722
2021-08-24,4267
2021-08-25,4267
2021-08-26,4577
2021-08-27,4635
2021-08-28,4155
2021-08-29,6089
2021-08-30,6786
2021-08-31,3222
2021-09-01,4608
2021-09-02,4324
2021-09-03,4260
2021-09-04,4355
2021-09-05,5318
2021-09-06,6012
2021-09-07,4152
2021-09-08,3514
2021-09-09,2623
2021-09-10,4938
2021-09-11,4805
2021-09-12,3526
2021-09-13,3164
2021-09-14,3213
2021-09-15,4562
2021-09-16,4056
2021-09-17,4174
2021-09-18,6234
2021-09-19,5893
2021-09-20,4559
2021-09-21,3235
2021-09-22,1323
2021-09-23,2900
2021-09-24,4663
2021-09-25,6262
2021-09-26,7442
2021-09-27,3005
2021-09-28,2752
2021-09-29,3390
2021-09-30,2438
2021-10-01,2808
2021-10-02,4801
2021-10-03,1502
2021-10-04,1084
2021-10-05,2167
2021-10-06,3550
2021-10-07,2441
2021-10-08,2915
2021-10-09,2621
2021-10-10,3935
2021-10-11,2413
2021-10-12,3109
2021-10-13,1997
2021-10-14,3574
2021-10-15,3416
2021-10-16,3422
2021-10-17,3899
2021-10-18,3321
2021-10-19,3461
2021-10-20,3295
2021-10-21,2181
2021-10-22,3924
2021-10-23,4918
2021-10-24,4125
2021-10-25,1553
2021-10-26,3620
2021-10-27,2203
2021-10-28,2188
2021-10-29,3993
2021-10-30,2908
2021-10-31,4433
2021-11-01,3667
2021-11-02,2885
2021-11-03,2582
2021-11-04,2863
2021-11-05,2661
2021-11-06,3197
2021-11-07,3906
2021-11-08,1853
2021-11-09,2177
2021-11-10,2115
2021-11-11,3524
2021-11-12,2347
2021-11-13,4336
2021-11-14,1364
2021-11-15,1271
2021-11-16,1948
2021-11-17,2622
2021-11-18,3353
2021-11-19,2319
2021-11-20,3065
2021-11-21,3253
2021-11-22,2740
2021-11-23,2787
2021-11-24,2829
2021-11-25,3927
2021-11-26,3445
2021-11-27,3627
2021-11-28,4855
2021-11-29,1969
2021-11-30,2338
2021-12-01,2523
2021-12-02,2569
2021-12-03,1256
2021-12-04,2102
2021-12-05,2365
2021-12-06,1366
2021-12-07,1434
2021-12-08,3770
2021-12-09,2616
2021-12-10,1697
2021-12-11,3067
2021-12-12,3121
2021-12-13,1787
2021-12-14,2851
2021-12-15,3203
2021-12-16,2067
2021-12-17,2238
2021-12-18,2333
2021-12-19,3582
2021-12-20,1922
2021-12-21,2069
2021-12-22,1602
2021-12-23,2242
2021-12-24,2470
2021-12-25,1265
2021-12-26,1722
2021-12-27,3308
2021-12-28,2321
2021-12-29,2836
2021-12-30,1249
2021-12-31,2698
2022-01-01,3206
2022-01-02,3321
2022-01-03,3350
2022-01-04,3005
2022-01-05,2193
2022-01-06,3256
2022-01-07,3580
2022-01-08,2097
2022-01-09,3124
2022-01-10,944
2022-01-11,1417
2022-01-12,3025
2022-01-13,2088
2022-01-14,1384
2022-01-15,921
2022-01-16,4126
2022-01-17,2832
2022-01-18,2852
2022-01-19,1293
2022-01-20,1220
2022-01-21,1039
2022-01-22,2531
2022-01-23,1267
2022-01-24,1073
2022-01-25,1212
2022-01-26,1577
2022-01-27,2466
2022-01-28,1586
2022-01-29,1976
2022-01-30,2170
2022-01-31,1579
2022-02-01,1878
2022-02-02,1026
2022-02-03,1673
2022-02-04,1113
2022-02-05,3027
2022-02-06,2126
2022-02-07,1297
2022-02-08,1526
2022-02-09,1612
2022-02-10,2021
2022-02-11,1941
2022-02-12,1138
2022-02-13,906
2022-02-14,1116
2022-02-15,944
2022-02-16,2866
2022-02-17,657
2022-02-18,940
2022-02-19,1753
2022-02-20,1754
2022-02-21,3571
2022-02-22,2146
2022-02-23,1859
2022-02-24,1787
2022-02-25,1568
2022-02-26,1857
2022-02-27,1428
2022-02-28,2011
2022-03-01,2162
2022-03-02,1061
2022-03-03,1123
2022-03-04,2490
2022-03-05,2599
2022-03-06,3956
2022-03-07,1051
2022-03-08,2152
2022-03-09,1410
2022-03-10,1709
2022-03-11,1204
2022-03-12,2237
2022-03-13,1773
2022-03-14,806
2022-03-15,1451
2022-03-16,2305
2022-03-17,5871
2022-03-18,3150
2022-03-19,3528
2022-03-20,3693
2022-03-21,3569
2022-03-22,3593
2022-03-23,1868
2022-03-24,2826
2022-03-25,3849
2022-03-26,3092
2022-03-27,2188
2022-03-28,2812
2022-03-29,1923
2022-03-30,1365
2022-03-31,2864
